HID,Hotel,Price,Number of Reviews,Desirable
HID1, Aadithya Chennai, 898.92, 1305, 3.690357653
HID2, Abu Sarovar Portico ex Abu Palace Chennai, 2771.67, 4358, 4.057938869
HID3, Accord Metropolitan Chennai, 4120.05, 499, -0.36547255
HID4, Akash Inn Chennai, 2172.39, 278, -0.34457926
HID5, Akshay Inn Chennai, 3221.13, 6189, 5.121827895
HID6, Aloft Chennai Omr - It Expressway Chennai, 4644.42, 4392, 2.147761712
HID7, Ambica Empire Chennai, 1498.2, 1297, 1.9040834
HID8, Ammu Palace Chennai, 4045.14, 2239, 0.952473784
HID9, Ampa Skywalk Chennai, 4045.14, 3971, 2.257555623
HID10, Annsun Boutique Chennai, 1722.93, 1467, 1.860651655
HID11, Apollo Serviced Apartments Chennai, 2921.49, 648, -0.0585647
HID12, Apple Residency Chennai, 1872.75, 683, 0.377002017
HID13, Aryaas Chennai, 1573.11, 121, -0.500188655
HID14, Asiana Place Chennai, 4269.87, 1172, 0.101997304
HID15, Atchaya Chennai, 973.83, 223, -0.036654905
HID16, Avnb Towers Chennai, 4120.05, 2149, 0.855216006
HID17, Azeez Avenue Chennai, 2771.67, 321, -0.381628428
HID18, Balaji Resort Chennai, 2022.57, 654, 0.250954621
HID19, Beach Park Resort Chennai, 3071.31, 2594, 1.839724332
HID20, Bell Hotel Chennai, 7640.82, 1832, -0.003820899
HID21, Benzz Park Chennai, 2546.94, 454, -0.191312279
HID22, Beverly Hotel Chennai, 1198.56, 147, -0.360802491
HID23, Bhimaas Chennai, 3221.13, 130, -0.611623236
HID24, BKR Convention Centre Chennai, 3895.32, 2429, 1.166036319
HID25, BKR Grand Chennai, 1872.75, 136, -0.513286837
HID26, Bluten by Traditions Inn Chennai, 1273.47, 617, 0.74215544
HID27, Brownstar Boutique Hotel Chennai, 2322.21, 551, -0.011413206
HID28, Buhari Royale Chennai, 1498.2, 521, 0.325326201
HID29, Chandra Park Chennai, 1348.38, 319, -0.0135279
HID30, Chennai Palace Chennai, 1872.75, 925, 0.770877524
HID31, Clarion Hotel President Chennai, 1722.93, 166, -0.440965463
HID32, Cloud Nine Serviced Apartments Chennai, 4569.51, 1371, 0.179877491
HID33, Courtyard Chennai India Chennai, 9363.75, 3647, 0.452521949
HID34, Crescent Hospitality Chennai, 3146.22, 1471, 0.690467087
HID35, Crescent Park Chennai, 3595.68, 2744, 1.591451497
HID36, Crystal Residency Chennai, 2322.21, 2143, 2.07819559
HID37, Deccan Plaza Chennai, 3820.41, 2527, 1.281492345
HID38, Dee Cee Manor Chennai, 2172.39, 147, -0.528384088
HID39, Deshna Home Stay -Arumbakkam, 2247.3, 313, -0.310110008
HID40, Dolphin Park Chennai, 5468.43, 217, -0.61368429
HID41, Dream Inn-Omr Chennai, 2097.48, 470, -0.051634051
HID42, E Hotel Chennai, 13259.07, 691, -0.57578793
HID43, Ekaana Cottages Chennai, 1722.93, 578, 0.287909443
HID44, Emarald Chennai, 4194.96, 544, -0.339367782
HID45, Emerald Manor Chennai, 599.28, 692, 2.785013641
HID46, Esthell Chennai, 1123.65, 462, 0.518601889
HID47, Everest Chennai, 2322.21, 137, -0.554816499
HID48, FabHotel Blossoms T Nagar, 2322.21, 832, 0.357418497
HID49, FabHotel Metro Manor Central Station, 2397.12, 450, -0.162440601
HID50, FabHotel Priyadarshini Park Mount Road, 1348.38, 117, -0.470155841
HID51, FabHotel Queensway T Nagar, 5093.88, 300, -0.555125339
HID52, Feathers- A Radha S, 2397.12, 369, -0.265436198
HID53, Fortel Chennai, 824.01, 101, -0.361033682
HID54, Fortune Select Grand Chennai, 1872.75, 83, -0.599548828
HID55, Fortune Select Palms Chennai, 1797.84, 200, -0.395558207
HID56, Frangi House Chennai, 1947.66, 320, -0.233843057
HID57, Gemini Inn Chennai, 1273.47, 135, -0.41151492
HID58, Gemini Residency Chennai, 2771.67, 200, -0.514694478
HID59, Ginger Hotel Chennai, 4869.15, 800, -0.233843057
HID60, Glm Meridian Chennai, 11086.68, 400, -0.62466642
HID61, Global Residency Chennai, 8165.19, 700, -0.473328885
HID62, Gokulam Park Chennai, 1498.2, 1611, 2.542910411
HID63, Gokulam Park Sabari OMR Chennai, 3221.13, 3530, 2.605695438
HID64, Golden Fruits Business Suites - T Nagar, 1198.56, 137, -0.386233503
HID65, Goldmine Chennai, 2771.67, 208, -0.505896722
HID66, Goutham Manor Chennai, 1048.74, 1377, 3.26747626
HID67, Grand Chennai by GRT Hotels Chennai, 23147.19, 3305, -0.299430629
HID68, Grand Palace Chennai, 13259.07, 1500, -0.389811086
HID69, Grand Tiara by Purpletree Chennai, 3445.86, 186, -0.570110774
