,"Lat,Lng"
0,"13.0510,80.2836"
1,"13.03374,80.26984"
2,"13.0071,80.2697"
3,"13.0602,80.2792"
4,"13.0632,80.2758"
5,"13.0166,80.2385"
6,"12.9022,80.2092"
7,"12.9854,80.2172"
8,"13.0322,80.2585"
9,"12.9345,80.2417"
10,"13.0172,80.2745"
11,"13.0537,80.2843"
12,"12.8591,80.2502"
13,"13.0024,80.2427"
14,"13.0470,80.2277"
15,"13.0365,80.2699"
16,"12.9198,80.2449"
17,"13.0421,80.2726"
18,"12.8917,80.2284"
19,"13.0586,80.2463"
20,"13.0592,80.2773"
21,"13.0375,80.2647"
22,"12.9904,80.2101"
23,"13.0340,80.2751"
24,"13.0592,80.2786"
25,"13.0310,80.2615"
26,"13.0142,80.2461"
27,"13.0342,80.2619"
28,"13.0376,80.2365"
29,"13.0441,80.2214"
30,"13.0403,80.2256"
31,"13.0460,80.2240"
32,"12.8729,80.2103"
33,"12.8960,80.2289"
34,"13.0292,80.2183"
35,"12.7060,80.2297"
36,"13.0333,80.2690"
37,"12.8770,80.2150"
38,"12.8300,80.2450"
39,"12.8570,80.2450"
40,"13.0527,80.2676"
41,"13.0174,80.2720"
42,"12.9822,80.2201"
43,"13.0693,80.2513"
44,"12.8986,80.2473"
45,"13.0344,80.2692"
46,"12.8676,80.2058"
47,"13.0511,80.2781"
48,"13.0563,80.2775"
49,"13.0630,80.2780"
50,"13.0310,80.2615"
51,"13.0591,80.2746"
52,"13.0388,80.2526"
53,"13.0453,80.2271"
54,"12.9250,80.2440"
55,"12.8676,80.2722"
56,"12.8624,80.2440"
57,"13.0715,80.2620"
58,"13.0691,80.2802"
59,"13.0044,80.2447"
60,"13.0834,80.2020"
61,"13.0310,80.2546"
62,"13.0071,80.2353"
63,"13.1164,80.1901"
64,"13.0274,80.2587"
65,"13.0288,80.2394"
66,"12.9753,80.1965"
67,"13.0507,80.2584"
68,"13.0450,80.2185"
69,"12.9284,80.2380"
70,"12.9761,80.2238"
71,"13.0489,80.2624"
72,"13.0470,80.2172"
